role,raw,norm,suggest_playerName,suggest_playerId,suggest_teamId
fouler,Stephanie White,stephanie white,,,
fouler,Becky Hammon,becky hammon,,,
fouler,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
drawer,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
drawer,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
fouler,Sandy Brondello,sandy brondello,,,
fouler,Sparks,sparks,,,
fouler,Sparks,sparks,,,
fouler,Mercury,mercury,,,
fouler,Wings,wings,,,
fouler,Chris Koclanes,chris koclanes,,,
fouler,Tyler Marsh,tyler marsh,,,
fouler,Valkyries,valkyries,,,
fouler,Valkyries,valkyries,,,
fouler,Sun,sun,,,
fouler,Mercury,mercury,,,
fouler,Stephanie White,stephanie white,,,
fouler,Tyler Marsh,tyler marsh,,,
fouler,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
fouler,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
drawer,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
fouler,Valkyries,valkyries,,,
fouler,Fever,fever,,,
fouler,Sun,sun,,,
fouler,Sun,sun,,,
fouler,Wings,wings,,,
fouler,Sparks,sparks,,,
fouler,Cheryl Reeve,cheryl reeve,,,
fouler,Dream,dream,,,
fouler,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
fouler,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
fouler,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
drawer,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
fouler,Lynx,lynx,,,
fouler,Mystics,mystics,,,
fouler,Lynne Roberts,lynne roberts,,,
fouler,Chris Koclanes,chris koclanes,,,
fouler,Mercury,mercury,,,
fouler,Becky Hammon,becky hammon,,,
fouler,Stephanie White,stephanie white,,,
fouler,Sparks,sparks,,,
fouler,Sky,sky,,,
fouler,Fever,fever,,,
fouler,Stephanie White,stephanie white,,,
fouler,Valkyries,valkyries,,,
fouler,Sky,sky,,,
fouler,Liberty,liberty,,,
fouler,Cheryl Reeve,cheryl reeve,,,
fouler,Storm,storm,,,
fouler,Valkyries,valkyries,,,
fouler,Valkyries,valkyries,,,
fouler,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
drawer,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
fouler,Becky Hammon,becky hammon,,,
fouler,Nate Tibbetts,nate tibbetts,,,
fouler,Mercury,mercury,,,
fouler,Mercury,mercury,,,
fouler,Nate Tibbetts,nate tibbetts,,,
fouler,Wings,wings,,,
fouler,Liberty,liberty,,,
fouler,Cheryl Reeve,cheryl reeve,,,
drawer,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
fouler,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
drawer,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
fouler,Wings,wings,,,
fouler,Dream,dream,,,
fouler,Karl Smesko,karl smesko,,,
fouler,Valkyries,valkyries,,,
fouler,Natalie Nakase,natalie nakase,,,
fouler,Sparks,sparks,,,
fouler,Aces,aces,,,
fouler,Danielle Robinson,danielle robinson,,,
fouler,Sandy Brondello,sandy brondello,,,
fouler,Liberty,liberty,,,
fouler,Valkyries,valkyries,,,
fouler,Liberty,liberty,,,
fouler,Lynne Roberts,lynne roberts,,,
fouler,Sandy Brondello,sandy brondello,,,
fouler,Valkyries,valkyries,,,
fouler,Valkyries,valkyries,,,
fouler,Sun,sun,,,
fouler,Mitch Thompson,mitch thompson,,,
fouler,Aces,aces,,,
fouler,Lynx,lynx,,,
drawer,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
fouler,Sparks,sparks,,,
fouler,Sun,sun,,,
fouler,Tyler Marsh,tyler marsh,,,
fouler,Tyler Marsh,tyler marsh,,,
fouler,Sun,sun,,,
fouler,Valkyries,valkyries,,,
fouler,Fever,fever,,,
fouler,Wings,wings,,,
fouler,Sydney Johnson,sydney johnson,,,
fouler,Mystics,mystics,,,
fouler,Liberty,liberty,,,
fouler,Nate Tibbetts,nate tibbetts,,,
fouler,Mystics,mystics,,,
fouler,Sun,sun,,,
fouler,Lynx,lynx,,,
fouler,Lynx,lynx,,,
fouler,Nate Tibbetts,nate tibbetts,,,
fouler,Sky,sky,,,
fouler,Wings,wings,,,
fouler,Sydney Johnson,sydney johnson,,,
fouler,Becky Hammon,becky hammon,,,
fouler,Lynne Roberts,lynne roberts,,,
drawer,Alexa Held,alexa held,,,
fouler,Alexa Held,alexa held,,,
drawer,Alexa Held,alexa held,,,
fouler,Tyler Marsh,tyler marsh,,,
fouler,Anastasiia Olairi Kosu,anastasiia olairi kosu,,,
fouler,Sky,sky,,,
fouler,Mystics,mystics,,,
fouler,Natalie Nakase,natalie nakase,,,
fouler,Valkyries,valkyries,,,
fouler,Cheryl Reeve,cheryl reeve,,,
fouler,Sparks,sparks,,,
fouler,Lynx,lynx,,,
fouler,Lynne Roberts,lynne roberts,,,
fouler,Mystics,mystics,,,
fouler,Sparks,sparks,,,
