team_id,games,minutes_est,fga,three_pa,fta,tov,ast,three_rate,fta_rate,tov_per_36,season_year
0699edf3-5993-4182-b9b4-ec935cbd4fcc,44,11555.466666666667,3018,1217,782,551,921,0.403247183565275,0.2591119946984758,1.7165901276163664,2025
08ed8274-e29f-4248-bc2e-83cc8ed18d75,44,12446.95,2875,1180,822,566,960,0.41043478260869565,0.28591304347826085,1.6370275449005578,2025
0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,44,13347.333333333334,2952,1127,898,622,911,0.3817750677506775,0.30420054200542007,1.6776384795964236,2025
171b097d-01db-4ae8-9d56-035689402ec6,44,12283.766666666666,2975,1138,813,525,861,0.38252100840336134,0.27327731092436974,1.5386160054055082,2025
3c409388-ab73-4c7f-953d-3a71062240f6,44,12023.083333333334,2902,889,752,683,850,0.30634045485871814,0.259131633356306,2.0450660881498783,2025
4f57ec40-0d35-4b59-bea0-9d040f0d2292,44,12487.933333333332,2867,1314,809,566,815,0.45831880013951865,0.2821764911056854,1.6316550910478915,2025
5c0d47fe-8539-47b0-9f36-d0b3609ca89b,44,11982.333333333334,2801,754,910,626,846,0.26918957515173153,0.32488397001071045,1.8807689097838483,2025
5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,44,12239.066666666668,2984,1248,821,494,942,0.41823056300268097,0.27513404825737264,1.453051975640844,2025
5f0b5caf-708b-4300-92f2-53b51d83ec06,44,12447.45,3143,950,809,563,888,0.30225898822780783,0.25739739102768056,1.6282853114493328,2025
6f017f37-be96-4bdc-b6d3-0a0429c72e89,44,13014.583333333334,2997,1116,707,532,1026,0.37237237237237236,0.23590256923590258,1.4715799583800224,2025
a015b02d-845c-40c1-8ef4-844984f47e4d,44,12149.566666666668,2951,896,802,577,765,0.30362588952897324,0.27177228058285324,1.7096906062493313,2025
a94924c8-9ca9-49aa-94f1-864f49c51a1c,1,283.0833333333333,107,64,8,8,36,0.5981308411214953,0.07476635514018691,1.0173682661171621,2025
bffa4df2-c1b7-4ef4-b3d5-d5cc26df350f,1,240.33333333333334,104,56,16,12,45,0.5384615384615384,0.15384615384615385,1.79750346740638,2025
d6a012ed-84aa-48d3-8265-2d3f3ff2199a,44,12479.416666666666,3044,971,703,511,938,0.31898817345597896,0.230946123521682,1.4741073634584951,2025
f073a15f-0486-4179-b0a3-dfd0294eb595,44,12492.133333333333,3025,1056,791,565,906,0.3490909090909091,0.26148760330578513,1.6282246960753968,2025
